EMP,DAT_PROD,GRP_DEF,COD_DE,DEFEITO,INDIGO,CC,GRP_TEAR,TEAR,ARTIGO,COR,PARTIDA,G_CMEST,ACONDIC,GRP_TEC,TRAMA,ROLADA,METRAGEM,QUALIDADE,"'PESO BRUTO'","'REVISOR FINAL'",HORA,"'NM MERC'","'TUR TEC'","'T TEC1'","'T TEC2'",EMENDAS,"PEÃ‡A",ETIQUETA
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,2145,RETALHO,"PESO BRUTO","REVISOR FINAL",0813,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153815,70179634
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,2119,RETALHO,"PESO BRUTO","REVISOR FINAL",0814,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153812,70179636
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,2093,RETALHO,"PESO BRUTO","REVISOR FINAL",1051,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153806,70175082
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,2032,RETALHO,"PESO BRUTO","REVISOR FINAL",1417,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153811,70166071
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,2014,RETALHO,"PESO BRUTO","REVISOR FINAL",0813,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153818,70179631
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1979,RETALHO,"PESO BRUTO","REVISOR FINAL",0814,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153814,70179635
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1856,RETALHO,"PESO BRUTO","REVISOR FINAL",0813,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153813,70179633
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1821,RETALHO,"PESO BRUTO","REVISOR FINAL",1416,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153807,70166069
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1743,RETALHO,"PESO BRUTO","REVISOR FINAL",0813,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153816,70179632
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1462,RETALHO,"PESO BRUTO","REVISOR FINAL",1418,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153809,70166073
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,1313,RETALHO,"PESO BRUTO","REVISOR FINAL",0812,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153817,70179630
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,197,RETALHO,"PESO BRUTO","REVISOR FINAL",1417,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153808,70166070
STC,"2025-12-02 00:00:00",GERAL,881,"RETALG REVISAO",,"TELARES JAT710",0305,5001,RETALG,,0000153,01,R,SANTANA,,0001,155,RETALHO,"PESO BRUTO","REVISOR FINAL",1418,"NM MERC","TUR TEC","T TEC1","T TEC2",N,0000153810,70166072
